nameWithOwner,createdAt,languages,stargazers,url,sshUrl
CyC2018/CS-Notes,2018-02-13T14:56:24Z,"{'totalSize': 1367509, 'totalCount': 1, 'edges': [{'size': 1367509, 'node': {'name': 'Java'}}]}",{'totalCount': 111918},https://github.com/CyC2018/CS-Notes,git@github.com:CyC2018/CS-Notes.git
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,"{'totalSize': 28355, 'totalCount': 1, 'edges': [{'size': 28355, 'node': {'name': 'Java'}}]}",{'totalCount': 88911},https://github.com/Snailclimb/JavaGuide,git@github.com:Snailclimb/JavaGuide.git
iluwatar/java-design-patterns,2014-08-09T16:45:18Z,"{'totalSize': 3386799, 'totalCount': 5, 'edges': [{'size': 3352465, 'node': {'name': 'Java'}}]}",{'totalCount': 60909},https://github.com/iluwatar/java-design-patterns,git@github.com:iluwatar/java-design-patterns.git
MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,"{'totalSize': 566421, 'totalCount': 3, 'edges': [{'size': 563598, 'node': {'name': 'Java'}}]}",{'totalCount': 59589},https://github.com/MisterBooo/LeetCodeAnimation,git@github.com:MisterBooo/LeetCodeAnimation.git
elastic/elasticsearch,2010-02-08T13:20:56Z,"{'totalSize': 108851265, 'totalCount': 12, 'edges': [{'size': 108560874, 'node': {'name': 'Java'}}]}",{'totalCount': 51434},https://github.com/elastic/elasticsearch,git@github.com:elastic/elasticsearch.git
spring-projects/spring-boot,2012-10-19T15:02:57Z,"{'totalSize': 19185692, 'totalCount': 12, 'edges': [{'size': 18934510, 'node': {'name': 'Java'}}]}",{'totalCount': 50862},https://github.com/spring-projects/spring-boot,git@github.com:spring-projects/spring-boot.git
kdn251/interviews,2017-02-14T18:19:25Z,"{'totalSize': 674404, 'totalCount': 1, 'edges': [{'size': 674404, 'node': {'name': 'Java'}}]}",{'totalCount': 47924},https://github.com/kdn251/interviews,git@github.com:kdn251/interviews.git
doocs/advanced-java,2018-10-06T11:38:30Z,"{'totalSize': 6086, 'totalCount': 2, 'edges': [{'size': 5892, 'node': {'name': 'Java'}}]}",{'totalCount': 47631},https://github.com/doocs/advanced-java,git@github.com:doocs/advanced-java.git
ReactiveX/RxJava,2013-01-08T20:11:48Z,"{'totalSize': 16156666, 'totalCount': 3, 'edges': [{'size': 16138827, 'node': {'name': 'Java'}}]}",{'totalCount': 43520},https://github.com/ReactiveX/RxJava,git@github.com:ReactiveX/RxJava.git
macrozheng/mall,2018-04-04T01:11:44Z,"{'totalSize': 2734722, 'totalCount': 3, 'edges': [{'size': 2732096, 'node': {'name': 'Java'}}]}",{'totalCount': 41649},https://github.com/macrozheng/mall,git@github.com:macrozheng/mall.git
